user_id,method,gt_size,history_size,seed_size,precision@5,recall@5,ndcg@5,map@5,precision@10,recall@10,ndcg@10,map@10
19286,hybrid,14,72,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19932,popularity,4,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19932,cooccurrence,4,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19932,hybrid,4,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21772,popularity,3,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21772,cooccurrence,3,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21772,hybrid,3,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23500,popularity,26,88,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23500,cooccurrence,26,88,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23500,hybrid,26,88,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24239,popularity,7,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24239,cooccurrence,7,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24239,hybrid,7,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25949,popularity,5,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25949,cooccurrence,5,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25949,hybrid,5,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26317,popularity,8,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26317,cooccurrence,8,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26317,hybrid,8,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26680,popularity,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26680,cooccurrence,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26680,hybrid,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28744,popularity,15,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28744,cooccurrence,15,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28744,hybrid,15,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28755,popularity,10,28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28755,cooccurrence,10,28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28755,hybrid,10,28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31354,popularity,8,86,10,0.2,0.125,0.3391602052736161,0.2,0.1,0.125,0.2529427027676571,0.125
31354,cooccurrence,8,86,10,0.2,0.125,0.3391602052736161,0.2,0.1,0.125,0.2529427027676571,0.125
31354,hybrid,8,86,10,0.2,0.125,0.3391602052736161,0.2,0.1,0.125,0.2529427027676571,0.125
31723,popularity,6,15,3,0.2,0.16666666666666666,0.21398626473452756,0.1,0.1,0.16666666666666666,0.19092086617893467,0.08333333333333333
